vuosi;okmohjauksenala;korkeakoulu;tutkinnot;opiskelijat;uudet;lasna;fte
2000;Kasvatusalat;Centria-ammattikorkeakoulu;;51;37;49;
2000;Kasvatusalat;Helsingin yliopisto;509;3444;451;3302;
2000;Kasvatusalat;Itä-Suomen yliopisto;302;1824;330;1744;
2000;Kasvatusalat;Jyväskylän ammattikorkeakoulu;;119;43;114;
2000;Kasvatusalat;Jyväskylän yliopisto;457;2079;346;1955;
2000;Kasvatusalat;Karelia-ammattikorkeakoulu;;78;26;72;
2000;Kasvatusalat;Lahden ammattikorkeakoulu;;60;28;58;
2000;Kasvatusalat;Lapin yliopisto;118;763;142;732;
2000;Kasvatusalat;Metropolia Ammattikorkeakoulu;;246;98;235;
2000;Kasvatusalat;Oulun ammattikorkeakoulu;;22;11;21;
2000;Kasvatusalat;Oulun yliopisto;274;1933;281;1836;
2000;Kasvatusalat;Savonia-ammattikorkeakoulu;;91;57;89;
2000;Kasvatusalat;Tampereen ammattikorkeakoulu;1;94;31;91;
2000;Kasvatusalat;Tampereen konservatorio;3;;;;
2000;Kasvatusalat;Tampereen yliopisto;198;1347;176;1258;
2000;Kasvatusalat;Turun ammattikorkeakoulu;26;164;39;159;
2000;Kasvatusalat;Turun yliopisto;274;1676;263;1629;
2000;Kasvatusalat;Yrkeshögskolan Novia;1;23;7;22;
2000;Kasvatusalat;Åbo Akademi;194;1007;180;905;
2000;Taiteet ja kulttuurialat;Aalto-yliopisto;236;1542;226;1453;
2000;Taiteet ja kulttuurialat;Centria-ammattikorkeakoulu;;33;11;33;
2000;Taiteet ja kulttuurialat;Diakonia-ammattikorkeakoulu;;39;20;39;
2000;Taiteet ja kulttuurialat;Helsingin yliopisto;61;840;60;755;
2000;Taiteet ja kulttuurialat;Hgin amm.kork-opist.ast.inst.;15;;;;
2000;Taiteet ja kulttuurialat;Hämeen ammattikorkeakoulu;48;411;113;398;
2000;Taiteet ja kulttuurialat;Itä-Suomen yliopisto;1;;0;;
2000;Taiteet ja kulttuurialat;Jyväskylän ammattikorkeakoulu;16;204;50;191;
2000;Taiteet ja kulttuurialat;Jyväskylän yliopisto;90;687;77;624;
2000;Taiteet ja kulttuurialat;Karelia-ammattikorkeakoulu;27;313;93;292;
2000;Taiteet ja kulttuurialat;Kymenlaakson ammattikorkeak.;51;544;158;534;
2000;Taiteet ja kulttuurialat;Lahden ammattikorkeakoulu;113;741;170;736;
2000;Taiteet ja kulttuurialat;Lapin ammattikorkeakoulu;2;209;78;209;
2000;Taiteet ja kulttuurialat;Lapin yliopisto;79;789;131;747;
2000;Taiteet ja kulttuurialat;Metropolia Ammattikorkeakoulu;106;961;357;940;
2000;Taiteet ja kulttuurialat;Mikkelin ammattikorkeakoulu;;38;38;38;
2000;Taiteet ja kulttuurialat;Oulun ammattikorkeakoulu;;105;76;104;
2000;Taiteet ja kulttuurialat;Saimaan ammattikorkeakoulu;6;141;52;140;
2000;Taiteet ja kulttuurialat;Satakunnan ammattikorkeakoulu;12;99;47;99;
2000;Taiteet ja kulttuurialat;Savonia-ammattikorkeakoulu;140;722;192;682;
2000;Taiteet ja kulttuurialat;Seinäjoen ammattikorkeakoulu;14;170;76;166;
2000;Taiteet ja kulttuurialat;Taideyliopisto;263;1986;240;1887;
2000;Taiteet ja kulttuurialat;Tampereen ammattikorkeakoulu;65;426;131;419;
2000;Taiteet ja kulttuurialat;Tampereen konservatorio;1;;;;
2000;Taiteet ja kulttuurialat;Tampereen yliopisto;6;34;9;33;
2000;Taiteet ja kulttuurialat;Turun ammattikorkeakoulu;53;517;163;512;
2000;Taiteet ja kulttuurialat;Turun yliopisto;24;329;22;303;
2000;Taiteet ja kulttuurialat;Yrkeshögskolan Arcada;;126;26;123;
2000;Taiteet ja kulttuurialat;Yrkeshögskolan Novia;29;321;93;302;
2000;Taiteet ja kulttuurialat;Åbo Akademi;6;154;16;134;
2000;Humanistiset alat;Centria-ammattikorkeakoulu;;21;21;21;
2000;Humanistiset alat;Diakonia-ammattikorkeakoulu;;77;39;76;
2000;Humanistiset alat;Helsingin yliopisto;902;10249;910;9430;
2000;Humanistiset alat;Humanistinen ammattikorkeak.;13;827;364;817;
2000;Humanistiset alat;Itä-Suomen yliopisto;169;1831;290;1680;
2000;Humanistiset alat;Jyväskylän yliopisto;347;2831;352;2555;
2000;Humanistiset alat;Mikkelin ammattikorkeakoulu;19;227;92;226;
2000;Humanistiset alat;Oulun yliopisto;189;1921;273;1743;
2000;Humanistiset alat;Tampereen yliopisto;216;3437;380;3031;
2000;Humanistiset alat;Turun yliopisto;388;4184;466;3810;
2000;Humanistiset alat;Työväen Akatemia;10;;;;
2000;Humanistiset alat;Vaasan yliopisto;57;837;126;714;
2000;Humanistiset alat;Yrkeshögskolan Novia;1;85;35;83;
2000;Humanistiset alat;Åbo Akademi;103;1344;163;1160;
2000;Yhteiskunnalliset alat;Aalto-yliopisto;37;351;0;320;
2000;Yhteiskunnalliset alat;Helsingin yliopisto;481;5028;434;4704;
2000;Yhteiskunnalliset alat;Itä-Suomen yliopisto;153;1570;264;1434;
2000;Yhteiskunnalliset alat;Jyväskylän yliopisto;258;1785;240;1669;
2000;Yhteiskunnalliset alat;Lapin yliopisto;95;1252;233;1160;
2000;Yhteiskunnalliset alat;Oulun ammattikorkeakoulu;13;84;28;82;
2000;Yhteiskunnalliset alat;Oulun yliopisto;30;270;38;248;
2000;Yhteiskunnalliset alat;Svenska handelshögskolan;8;143;1;127;
2000;Yhteiskunnalliset alat;Tampereen yliopisto;553;5128;462;4630;
2000;Yhteiskunnalliset alat;Turun ammattikorkeakoulu;;67;20;67;
2000;Yhteiskunnalliset alat;Turun yliopisto;197;1779;175;1678;
2000;Yhteiskunnalliset alat;Vaasan ammattikorkeakoulu;;28;12;28;
2000;Yhteiskunnalliset alat;Vaasan yliopisto;50;803;119;709;
2000;Yhteiskunnalliset alat;Åbo Akademi;102;1068;124;975;
2000;Kauppa, hallinto ja oikeustieteet;Aalto-yliopisto;380;3242;467;2973;
2000;Kauppa, hallinto ja oikeustieteet;Ahlmanin ammatti- ja aikuisopi;2;;;;
2000;Kauppa, hallinto ja oikeustieteet;Centria-ammattikorkeakoulu;124;721;186;713;
2000;Kauppa, hallinto ja oikeustieteet;Espoon liiketalousinstituutti;5;;;;
2000;Kauppa, hallinto ja oikeustieteet;Haaga-Helia ammattikorkeakoulu;475;5225;1311;4798;
2000;Kauppa, hallinto ja oikeustieteet;Helsingin yliopisto;313;2556;235;2451;
2000;Kauppa, hallinto ja oikeustieteet;Hyria koulutus Oy;11;;;;
2000;Kauppa, hallinto ja oikeustieteet;Hämeen ammattikorkeakoulu;55;732;239;721;
2000;Kauppa, hallinto ja oikeustieteet;Ikaalisten kauppaoppilaitos;14;;;;
2000;Kauppa, hallinto ja oikeustieteet;Jyväskylän ammattikorkeakoulu;147;1013;324;946;
2000;Kauppa, hallinto ja oikeustieteet;Jyväskylän yliopisto;93;690;94;664;
2000;Kauppa, hallinto ja oikeustieteet;Kajaanin ammattikorkeakoulu;62;469;137;454;
2000;Kauppa, hallinto ja oikeustieteet;Karelia-ammattikorkeakoulu;100;738;208;643;
2000;Kauppa, hallinto ja oikeustieteet;Keudan ammattiopisto;22;;;;
2000;Kauppa, hallinto ja oikeustieteet;Kymenlaakson ammattikorkeak.;119;990;273;938;
2000;Kauppa, hallinto ja oikeustieteet;Lahden ammattikorkeakoulu;150;1059;173;1054;
2000;Kauppa, hallinto ja oikeustieteet;Lapin ammattikorkeakoulu;172;861;221;815;
2000;Kauppa, hallinto ja oikeustieteet;Lapin yliopisto;112;841;115;792;
2000;Kauppa, hallinto ja oikeustieteet;Lappeenrannan tekn. yliopisto;106;740;131;662;
2000;Kauppa, hallinto ja oikeustieteet;Laurea-ammattikorkeakoulu;84;2511;723;2412;
2000;Kauppa, hallinto ja oikeustieteet;Luksia, Länsi-Uudenmaan amm.op;13;;;;
2000;Kauppa, hallinto ja oikeustieteet;Metropolia Ammattikorkeakoulu;276;1235;330;1233;
2000;Kauppa, hallinto ja oikeustieteet;Mikkelin ammattikorkeakoulu;121;614;165;613;
2000;Kauppa, hallinto ja oikeustieteet;Mäntän seudun koulutuskeskus;16;;;;
2000;Kauppa, hallinto ja oikeustieteet;Oulun ammattikorkeakoulu;55;706;345;651;
2000;Kauppa, hallinto ja oikeustieteet;Oulun yliopisto;52;449;66;429;
2000;Kauppa, hallinto ja oikeustieteet;Pohj.Pirkanm.k.ins(1.9.1999-);14;;;;
2000;Kauppa, hallinto ja oikeustieteet;Porvoo International College;5;;;;
2000;Kauppa, hallinto ja oikeustieteet;Saimaan ammattikorkeakoulu;122;836;182;801;
2000;Kauppa, hallinto ja oikeustieteet;Satakunnan ammattikorkeakoulu;308;1795;452;1738;
2000;Kauppa, hallinto ja oikeustieteet;Savonia-ammattikorkeakoulu;215;1115;335;1101;
2000;Kauppa, hallinto ja oikeustieteet;Seinäjoen ammattikorkeakoulu;211;949;280;934;
2000;Kauppa, hallinto ja oikeustieteet;Svenska handelshögskolan;215;2080;328;1914;
2000;Kauppa, hallinto ja oikeustieteet;Tampereen ammattikorkeakoulu;169;2165;622;2089;
2000;Kauppa, hallinto ja oikeustieteet;Tampereen yliopisto;114;1022;118;933;
2000;Kauppa, hallinto ja oikeustieteet;Turun ammattikorkeakoulu;117;1144;296;1129;
2000;Kauppa, hallinto ja oikeustieteet;Turun yliopisto;321;2843;392;2768;
2000;Kauppa, hallinto ja oikeustieteet;Vaasan ammattikorkeakoulu;109;862;225;844;
2000;Kauppa, hallinto ja oikeustieteet;Vaasan yliopisto;195;2068;311;1798;
2000;Kauppa, hallinto ja oikeustieteet;Yrkeshögskolan Arcada;20;356;65;350;
2000;Kauppa, hallinto ja oikeustieteet;Yrkeshögskolan Novia;2;117;36;114;
2000;Kauppa, hallinto ja oikeustieteet;Åbo Akademi;58;736;86;661;
2000;Luonnontieteet;Aalto-yliopisto;;28;0;25;
2000;Luonnontieteet;Helsingin yliopisto;837;6335;747;5810;
2000;Luonnontieteet;Itä-Suomen yliopisto;223;2094;387;1925;
2000;Luonnontieteet;Jyväskylän yliopisto;224;2326;399;2132;
2000;Luonnontieteet;Oulun yliopisto;284;2519;383;2292;
2000;Luonnontieteet;Svenska handelshögskolan;;10;0;10;
2000;Luonnontieteet;Tampereen yliopisto;44;466;65;394;
2000;Luonnontieteet;Turun yliopisto;242;2730;345;2498;
2000;Luonnontieteet;Yrkeshögskolan Novia;;16;;16;
2000;Luonnontieteet;Åbo Akademi;77;789;85;702;
2000;Tietojenkäsittely ja tietoliikenne;Aalto-yliopisto;107;2407;531;2146;
2000;Tietojenkäsittely ja tietoliikenne;Centria-ammattikorkeakoulu;24;398;126;396;
2000;Tietojenkäsittely ja tietoliikenne;Espoon liiketalousinstituutti;8;;;;
2000;Tietojenkäsittely ja tietoliikenne;Haaga-Helia ammattikorkeakoulu;161;1520;446;1384;
2000;Tietojenkäsittely ja tietoliikenne;Helsingin yliopisto;145;2187;269;2005;
2000;Tietojenkäsittely ja tietoliikenne;Hgin amm.kork-opist.ast.inst.;49;;;;
2000;Tietojenkäsittely ja tietoliikenne;Hämeen ammattikorkeakoulu;128;962;287;923;
2000;Tietojenkäsittely ja tietoliikenne;Itä-Suomen yliopisto;50;848;200;759;
2000;Tietojenkäsittely ja tietoliikenne;Jyväskylän ammattikorkeakoulu;111;1108;313;1020;
2000;Tietojenkäsittely ja tietoliikenne;Jyväskylän yliopisto;71;1408;372;1325;
2000;Tietojenkäsittely ja tietoliikenne;Kajaanin ammattikorkeakoulu;56;461;161;446;
2000;Tietojenkäsittely ja tietoliikenne;Karelia-ammattikorkeakoulu;50;566;186;523;
2000;Tietojenkäsittely ja tietoliikenne;Kymenlaakson ammattikorkeak.;;268;84;260;
2000;Tietojenkäsittely ja tietoliikenne;Lahden ammattikorkeakoulu;30;742;249;726;
2000;Tietojenkäsittely ja tietoliikenne;Lapin ammattikorkeakoulu;28;624;246;606;
2000;Tietojenkäsittely ja tietoliikenne;Lappeenrannan tekn. yliopisto;51;745;130;647;
2000;Tietojenkäsittely ja tietoliikenne;Laurea-ammattikorkeakoulu;13;618;267;588;
2000;Tietojenkäsittely ja tietoliikenne;Metropolia Ammattikorkeakoulu;122;1858;432;1816;
2000;Tietojenkäsittely ja tietoliikenne;Mikkelin ammattikorkeakoulu;42;529;158;520;
2000;Tietojenkäsittely ja tietoliikenne;Oulun ammattikorkeakoulu;119;1998;479;1829;
2000;Tietojenkäsittely ja tietoliikenne;Oulun yliopisto;62;1660;264;1499;
2000;Tietojenkäsittely ja tietoliikenne;Saimaan ammattikorkeakoulu;16;311;77;281;
2000;Tietojenkäsittely ja tietoliikenne;Satakunnan ammattikorkeakoulu;69;889;199;858;
2000;Tietojenkäsittely ja tietoliikenne;Savonia-ammattikorkeakoulu;42;478;143;469;
2000;Tietojenkäsittely ja tietoliikenne;Seinäjoen ammattikorkeakoulu;;57;57;57;
2000;Tietojenkäsittely ja tietoliikenne;Svenska handelshögskolan;2;47;1;44;
2000;Tietojenkäsittely ja tietoliikenne;Tampereen ammattikorkeakoulu;43;831;272;789;
2000;Tietojenkäsittely ja tietoliikenne;Tampereen tekn. yliopisto;177;2197;272;1897;
2000;Tietojenkäsittely ja tietoliikenne;Tampereen yliopisto;33;684;106;638;
2000;Tietojenkäsittely ja tietoliikenne;Turun ammattikorkeakoulu;78;1412;455;1375;
2000;Tietojenkäsittely ja tietoliikenne;Turun yliopisto;44;913;157;848;
2000;Tietojenkäsittely ja tietoliikenne;Vaasan ammattikorkeakoulu;12;301;116;298;
2000;Tietojenkäsittely ja tietoliikenne;Vaasan yliopisto;9;339;119;303;
2000;Tietojenkäsittely ja tietoliikenne;Yrkeshögskolan Arcada;;197;51;186;
2000;Tietojenkäsittely ja tietoliikenne;Yrkeshögskolan Novia;;102;50;99;
2000;Tietojenkäsittely ja tietoliikenne;Åbo Akademi;9;507;118;438;
2000;Tekniikan alat;Aalto-yliopisto;951;11627;1165;10461;
2000;Tekniikan alat;Centria-ammattikorkeakoulu;121;989;325;978;
2000;Tekniikan alat;Helsingin yliopisto;;7;0;7;
2000;Tekniikan alat;Hgin amm.kork-opist.ast.inst.;53;;;;
2000;Tekniikan alat;Hämeen ammattikorkeakoulu;274;1974;556;1925;
2000;Tekniikan alat;Jyväskylän ammattikorkeakoulu;87;1038;317;996;
2000;Tekniikan alat;Kajaanin ammattikorkeakoulu;9;208;62;203;
2000;Tekniikan alat;Karelia-ammattikorkeakoulu;107;577;192;524;
2000;Tekniikan alat;Kymenlaakson ammattikorkeak.;135;1157;310;1092;
2000;Tekniikan alat;Lahden ammattikorkeakoulu;80;655;121;641;
2000;Tekniikan alat;Lapin ammattikorkeakoulu;180;1556;351;1442;
2000;Tekniikan alat;Lappeenrannan tekn. yliopisto;271;2921;465;2406;
2000;Tekniikan alat;Metropolia Ammattikorkeakoulu;198;4113;1442;3732;
2000;Tekniikan alat;Mikkelin ammattikorkeakoulu;162;1164;291;1149;
2000;Tekniikan alat;Oulun ammattikorkeakoulu;98;1024;384;898;
2000;Tekniikan alat;Oulun yliopisto;303;3530;447;3157;
2000;Tekniikan alat;Saimaan ammattikorkeakoulu;66;798;225;753;
2000;Tekniikan alat;Satakunnan ammattikorkeakoulu;136;1257;351;1228;
2000;Tekniikan alat;Savonia-ammattikorkeakoulu;179;1866;589;1809;
2000;Tekniikan alat;Seinäjoen ammattikorkeakoulu;43;613;272;605;
2000;Tekniikan alat;Tampereen ammattikorkeakoulu;332;2314;561;2157;
2000;Tekniikan alat;Tampereen tekn. yliopisto;559;7742;1052;6429;
2000;Tekniikan alat;Turun ammattikorkeakoulu;185;1604;449;1565;
2000;Tekniikan alat;Vaasan ammattikorkeakoulu;202;1517;369;1386;
2000;Tekniikan alat;Vaasan yliopisto;;161;54;133;
2000;Tekniikan alat;Yrkeshögskolan Arcada;27;372;66;358;
2000;Tekniikan alat;Yrkeshögskolan Novia;129;828;231;742;
2000;Tekniikan alat;Åbo Akademi;58;576;58;509;
2000;Maa- ja metsätalousalat;Helsingin yliopisto;290;3001;323;2865;
2000;Maa- ja metsätalousalat;Hämeen ammattikorkeakoulu;148;923;210;877;
2000;Maa- ja metsätalousalat;Itä-Suomen yliopisto;60;327;48;301;
2000;Maa- ja metsätalousalat;Jyväskylän ammattikorkeakoulu;3;88;61;85;
2000;Maa- ja metsätalousalat;Karelia-ammattikorkeakoulu;70;415;95;376;
2000;Maa- ja metsätalousalat;Kymenlaakson ammattikorkeak.;34;257;52;248;
2000;Maa- ja metsätalousalat;Lapin ammattikorkeakoulu;20;265;76;217;
2000;Maa- ja metsätalousalat;Laurea-ammattikorkeakoulu;6;173;73;165;
2000;Maa- ja metsätalousalat;Mikkelin ammattikorkeakoulu;33;235;77;231;
2000;Maa- ja metsätalousalat;Oulun ammattikorkeakoulu;39;227;84;206;
2000;Maa- ja metsätalousalat;Savonia-ammattikorkeakoulu;17;109;76;106;
2000;Maa- ja metsätalousalat;Seinäjoen ammattikorkeakoulu;58;550;140;518;
2000;Maa- ja metsätalousalat;Tampereen ammattikorkeakoulu;53;268;78;247;
2000;Maa- ja metsätalousalat;Turun ammattikorkeakoulu;;75;29;74;
2000;Maa- ja metsätalousalat;Yrkeshögskolan Novia;22;259;68;256;
2000;Lääketieteet;Helsingin yliopisto;432;2454;85;2401;
2000;Lääketieteet;Hgin amm.kork-opist.ast.inst.;9;;;;
2000;Lääketieteet;Itä-Suomen yliopisto;177;1254;76;1218;
2000;Lääketieteet;Metropolia Ammattikorkeakoulu;23;205;69;186;
2000;Lääketieteet;Oulun ammattikorkeakoulu;13;57;19;54;
2000;Lääketieteet;Oulun yliopisto;266;1449;89;1385;
2000;Lääketieteet;Savonia-ammattikorkeakoulu;12;73;26;70;
2000;Lääketieteet;Tampereen yliopisto;197;1369;80;1334;
2000;Lääketieteet;Turun ammattikorkeakoulu;11;61;20;59;
2000;Lääketieteet;Turun yliopisto;242;1520;77;1480;
2000;Lääketieteet;Yrkeshögskolan Arcada;;4;;4;
2000;Terveys- ja hyvinvointialat;Centria-ammattikorkeakoulu;147;419;101;417;
2000;Terveys- ja hyvinvointialat;Diakonia-ammattikorkeakoulu;48;2368;905;2287;
2000;Terveys- ja hyvinvointialat;Diakoniainstituutti;212;;;;
2000;Terveys- ja hyvinvointialat;Espoon terveys-sos.alan oppil.;5;;;;
2000;Terveys- ja hyvinvointialat;Helsingin yliopisto;206;825;161;793;
2000;Terveys- ja hyvinvointialat;Hgin amm.kork-opist.ast.inst.;293;;;;
2000;Terveys- ja hyvinvointialat;Hämeen ammattikorkeakoulu;3;420;240;416;
2000;Terveys- ja hyvinvointialat;Itä-Suomen yliopisto;313;1598;293;1532;
2000;Terveys- ja hyvinvointialat;Jyväskylän ammattikorkeakoulu;179;966;280;914;
2000;Terveys- ja hyvinvointialat;Jyväskylän yliopisto;63;471;71;440;
2000;Terveys- ja hyvinvointialat;Kajaanin ammattikorkeakoulu;80;353;108;345;
2000;Terveys- ja hyvinvointialat;Karelia-ammattikorkeakoulu;174;627;162;595;
2000;Terveys- ja hyvinvointialat;Keudan ammattiopisto;2;;;;
2000;Terveys- ja hyvinvointialat;Kymenlaakson ammattikorkeak.;197;765;182;725;
2000;Terveys- ja hyvinvointialat;Lahden ammattikorkeakoulu;225;940;251;907;
2000;Terveys- ja hyvinvointialat;Lapin ammattikorkeakoulu;331;1282;326;1211;
2000;Terveys- ja hyvinvointialat;Laurea-ammattikorkeakoulu;223;2236;657;2106;
2000;Terveys- ja hyvinvointialat;Metropolia Ammattikorkeakoulu;324;3154;866;2842;
2000;Terveys- ja hyvinvointialat;Mikkelin ammattikorkeakoulu;214;1085;303;1064;
2000;Terveys- ja hyvinvointialat;Oulun ammattikorkeakoulu;359;1210;296;1155;
2000;Terveys- ja hyvinvointialat;Oulun yliopisto;39;291;42;276;
2000;Terveys- ja hyvinvointialat;Saimaan ammattikorkeakoulu;130;486;118;454;
2000;Terveys- ja hyvinvointialat;Satakunnan ammattikorkeakoulu;268;1363;411;1317;
2000;Terveys- ja hyvinvointialat;Savonia-ammattikorkeakoulu;267;1143;296;1109;
2000;Terveys- ja hyvinvointialat;Seinäjoen ammattikorkeakoulu;163;717;216;695;
2000;Terveys- ja hyvinvointialat;Tampereen ammattikorkeakoulu;226;1446;403;1409;
2000;Terveys- ja hyvinvointialat;Tampereen seudun ammattiopisto;40;;;;
2000;Terveys- ja hyvinvointialat;Tampereen sos. ja terv.alan op;18;;;;
2000;Terveys- ja hyvinvointialat;Tampereen yliopisto;60;468;51;444;
2000;Terveys- ja hyvinvointialat;Turun ammattikorkeakoulu;301;1757;534;1716;
2000;Terveys- ja hyvinvointialat;Turun yliopisto;49;302;40;289;
2000;Terveys- ja hyvinvointialat;Vaasan ammattikorkeakoulu;98;353;75;350;
2000;Terveys- ja hyvinvointialat;Vantaan ammattiopisto;99;;;;
2000;Terveys- ja hyvinvointialat;Yrkeshögskolan Arcada;43;564;151;548;
2000;Terveys- ja hyvinvointialat;Yrkeshögskolan Novia;133;716;197;671;
2000;Terveys- ja hyvinvointialat;Åbo Akademi;45;268;48;243;
2000;Palvelualat;Centria-ammattikorkeakoulu;;65;38;64;
2000;Palvelualat;Espoon palvelualojen oppil.;7;;;;
2000;Palvelualat;Haaga-Helia ammattikorkeakoulu;91;1598;442;1568;
2000;Palvelualat;Hgin amm.kork-opist.ast.inst.;16;;;;
2000;Palvelualat;Hämeen ammattikorkeakoulu;30;178;56;178;
2000;Palvelualat;Ikaalisten kauppaoppilaitos;1;;;;
2000;Palvelualat;Jyväskylän ammattikorkeakoulu;77;793;207;747;
2000;Palvelualat;Jyväskylän yliopisto;110;695;73;653;
2000;Palvelualat;Kajaanin ammattikorkeakoulu;;107;70;107;
2000;Palvelualat;Karelia-ammattikorkeakoulu;56;310;91;294;
2000;Palvelualat;Keudan ammattiopisto;1;;;;
2000;Palvelualat;Kymenlaakson ammattikorkeak.;33;107;23;84;
2000;Palvelualat;Lahden ammattikorkeakoulu;;244;160;243;
2000;Palvelualat;Lapin ammattikorkeakoulu;129;815;244;700;
2000;Palvelualat;Laurea-ammattikorkeakoulu;17;825;237;788;
2000;Palvelualat;Metropolia Ammattikorkeakoulu;14;209;89;197;
2000;Palvelualat;Mikkelin ammattikorkeakoulu;44;497;186;496;
2000;Palvelualat;Porvoo International College;1;;;;
2000;Palvelualat;Porvoon ammattiopisto;8;;;;
2000;Palvelualat;Saimaan ammattikorkeakoulu;12;241;64;229;
2000;Palvelualat;Satakunnan ammattikorkeakoulu;9;365;100;328;
2000;Palvelualat;Savonia-ammattikorkeakoulu;;231;140;229;
2000;Palvelualat;Seinäjoen ammattikorkeakoulu;;105;59;99;
2000;Palvelualat;Tampereen ammattikorkeakoulu;7;499;173;484;
2000;Palvelualat;Tampereen palvelualan amm.opis;13;;;;
2000;Palvelualat;Turun ammattikorkeakoulu;37;426;111;424;
2000;Palvelualat;Vaasan ammattikorkeakoulu;12;268;57;265;
2000;Palvelualat;Vantaan ammattiopisto;11;;;;
2000;Palvelualat;Yrkeshögskolan Arcada;11;106;28;105;
2000;Palvelualat;Yrkeshögskolan Novia;10;391;127;367;
2000;Virhetilanne;Turun ammattikorkeakoulu;;38;29;37;
2001;Kasvatusalat;Centria-ammattikorkeakoulu;;68;24;63;
2001;Kasvatusalat;Helsingin yliopisto;522;3473;470;3282;
2001;Kasvatusalat;Itä-Suomen yliopisto;334;1878;354;1768;
2001;Kasvatusalat;Jyväskylän ammattikorkeakoulu;4;174;56;162;
2001;Kasvatusalat;Jyväskylän yliopisto;419;2025;426;1951;
2001;Kasvatusalat;Karelia-ammattikorkeakoulu;2;95;27;92;
2001;Kasvatusalat;Lahden ammattikorkeakoulu;;84;28;82;
2001;Kasvatusalat;Lapin yliopisto;111;791;144;762;
2001;Kasvatusalat;Metropolia Ammattikorkeakoulu;2;271;32;242;
2001;Kasvatusalat;Oulun ammattikorkeakoulu;7;49;28;48;
2001;Kasvatusalat;Oulun yliopisto;267;1897;265;1794;
2001;Kasvatusalat;Savonia-ammattikorkeakoulu;;114;37;111;
2001;Kasvatusalat;Tampereen ammattikorkeakoulu;5;116;38;111;
2001;Kasvatusalat;Tampereen yliopisto;195;1363;180;1274;
2001;Kasvatusalat;Turun ammattikorkeakoulu;35;186;62;178;
2001;Kasvatusalat;Turun yliopisto;318;1757;284;1709;
2001;Kasvatusalat;Yrkeshögskolan Novia;2;32;2;30;
2001;Kasvatusalat;Åbo Akademi;132;1098;188;995;
2001;Taiteet ja kulttuurialat;Aalto-yliopisto;242;1666;307;1556;
2001;Taiteet ja kulttuurialat;Centria-ammattikorkeakoulu;;32;8;32;
2001;Taiteet ja kulttuurialat;Diakonia-ammattikorkeakoulu;;60;21;57;
2001;Taiteet ja kulttuurialat;Helsingin yliopisto;54;831;60;725;
2001;Taiteet ja kulttuurialat;Hämeen ammattikorkeakoulu;69;428;130;410;
2001;Taiteet ja kulttuurialat;Jyväskylän ammattikorkeakoulu;22;237;67;206;
2001;Taiteet ja kulttuurialat;Jyväskylän yliopisto;73;703;94;661;
2001;Taiteet ja kulttuurialat;Karelia-ammattikorkeakoulu;48;325;90;312;
2001;Taiteet ja kulttuurialat;Kymenlaakson ammattikorkeak.;84;562;140;547;
2001;Taiteet ja kulttuurialat;Lahden ammattikorkeakoulu;110;794;178;768;
2001;Taiteet ja kulttuurialat;Lapin ammattikorkeakoulu;13;285;104;281;
2001;Taiteet ja kulttuurialat;Lapin yliopisto;61;831;119;789;
2001;Taiteet ja kulttuurialat;Laurea-ammattikorkeakoulu;;41;41;41;
2001;Taiteet ja kulttuurialat;Metropolia Ammattikorkeakoulu;145;1138;372;1087;
2001;Taiteet ja kulttuurialat;Mikkelin ammattikorkeakoulu;;66;29;65;
2001;Taiteet ja kulttuurialat;Oulun ammattikorkeakoulu;;182;85;178;
2001;Taiteet ja kulttuurialat;Oulun yliopisto;1;;;;
2001;Taiteet ja kulttuurialat;Saimaan ammattikorkeakoulu;29;141;39;139;
2001;Taiteet ja kulttuurialat;Satakunnan ammattikorkeakoulu;9;131;49;127;
2001;Taiteet ja kulttuurialat;Savonia-ammattikorkeakoulu;120;685;188;653;
2001;Taiteet ja kulttuurialat;Seinäjoen ammattikorkeakoulu;36;250;112;245;
2001;Taiteet ja kulttuurialat;Taideyliopisto;261;2038;271;1926;
2001;Taiteet ja kulttuurialat;Tampereen ammattikorkeakoulu;73;474;142;466;
2001;Taiteet ja kulttuurialat;Tampereen yliopisto;24;25;0;25;
2001;Taiteet ja kulttuurialat;Turun ammattikorkeakoulu;61;595;173;578;
2001;Taiteet ja kulttuurialat;Turun yliopisto;19;337;23;310;
2001;Taiteet ja kulttuurialat;Yrkeshögskolan Arcada;7;149;29;145;
2001;Taiteet ja kulttuurialat;Yrkeshögskolan Novia;33;322;76;301;
2001;Taiteet ja kulttuurialat;Åbo Akademi;15;165;17;147;
2001;Humanistiset alat;Centria-ammattikorkeakoulu;;53;33;52;
2001;Humanistiset alat;Diakonia-ammattikorkeakoulu;18;94;21;90;
2001;Humanistiset alat;Helsingin yliopisto;786;10276;946;9231;
2001;Humanistiset alat;Humanistinen ammattikorkeak.;87;1108;372;1058;
2001;Humanistiset alat;Itä-Suomen yliopisto;173;1898;301;1734;
2001;Humanistiset alat;Jyväskylän yliopisto;341;2857;406;2656;
2001;Humanistiset alat;Mikkelin ammattikorkeakoulu;38;273;74;267;
2001;Humanistiset alat;Oulun yliopisto;170;1999;254;1836;
2001;Humanistiset alat;Tampereen yliopisto;208;3490;350;3117;
2001;Humanistiset alat;Turun yliopisto;356;4279;490;3927;
2001;Humanistiset alat;Vaasan yliopisto;60;874;137;730;
