vuosi;okmohjauksenala;korkeakoulu;tutkinnot;opiskelijat;uudet;lasna;fte
2009;Humanistiset alat;Vaasan yliopisto;119;762;130;673;530.0
2009;Humanistiset alat;Åbo Akademi;153;1313;133;1128;839.5
2009;Yhteiskunnalliset alat;Aalto-yliopisto;56;337;11;320;251.5
2009;Yhteiskunnalliset alat;Helsingin yliopisto;734;5286;494;4872;3571.0
2009;Yhteiskunnalliset alat;Itä-Suomen yliopisto;373;2425;357;2204;1681.5
2009;Yhteiskunnalliset alat;Jyväskylän yliopisto;431;2305;305;2160;1686.0
2009;Yhteiskunnalliset alat;Lapin yliopisto;223;1416;173;1293;976.5
2009;Yhteiskunnalliset alat;Oulun ammattikorkeakoulu;26;103;29;94;88.0
2009;Yhteiskunnalliset alat;Oulun yliopisto;65;411;55;373;279.5
2009;Yhteiskunnalliset alat;Seinäjoen ammattikorkeakoulu;12;91;26;87;81.5
2009;Yhteiskunnalliset alat;Svenska handelshögskolan;10;105;23;94;75.0
2009;Yhteiskunnalliset alat;Tampereen yliopisto;566;4764;458;4277;3086.0
2009;Yhteiskunnalliset alat;Turun ammattikorkeakoulu;15;79;19;75;64.0
2009;Yhteiskunnalliset alat;Turun yliopisto;288;2181;209;2036;1473.5
2009;Yhteiskunnalliset alat;Vaasan yliopisto;156;1000;137;899;667.5
2009;Yhteiskunnalliset alat;Åbo Akademi;176;1123;127;961;724.0
2009;Kauppa, hallinto ja oikeustieteet;Aalto-yliopisto;505;3157;515;2949;2405.0
2009;Kauppa, hallinto ja oikeustieteet;Centria-ammattikorkeakoulu;111;719;262;669;581.0
2009;Kauppa, hallinto ja oikeustieteet;Haaga-Helia ammattikorkeakoulu;904;5341;1343;4785;4124.5
2009;Kauppa, hallinto ja oikeustieteet;Helsingin yliopisto;480;2323;222;2177;1688.5
2009;Kauppa, hallinto ja oikeustieteet;Hämeen ammattikorkeakoulu;144;952;274;894;757.0
2009;Kauppa, hallinto ja oikeustieteet;Itä-Suomen yliopisto;;780;138;726;585.5
2009;Kauppa, hallinto ja oikeustieteet;Jyväskylän ammattikorkeakoulu;205;1161;332;1035;909.5
2009;Kauppa, hallinto ja oikeustieteet;Jyväskylän yliopisto;167;994;117;954;743.0
2009;Kauppa, hallinto ja oikeustieteet;Kajaanin ammattikorkeakoulu;90;432;133;390;348.5
2009;Kauppa, hallinto ja oikeustieteet;Karelia-ammattikorkeakoulu;75;573;177;515;466.5
2009;Kauppa, hallinto ja oikeustieteet;Kymenlaakson ammattikorkeak.;142;1009;283;898;787.5
2009;Kauppa, hallinto ja oikeustieteet;Lahden ammattikorkeakoulu;154;913;299;857;775.5
2009;Kauppa, hallinto ja oikeustieteet;Lapin ammattikorkeakoulu;145;962;324;892;768.5
2009;Kauppa, hallinto ja oikeustieteet;Lapin yliopisto;162;1177;121;1126;911.5
2009;Kauppa, hallinto ja oikeustieteet;Lappeenrannan tekn. yliopisto;410;1376;222;1219;947.0
2009;Kauppa, hallinto ja oikeustieteet;Laurea-ammattikorkeakoulu;400;2595;712;2414;2023.0
2009;Kauppa, hallinto ja oikeustieteet;Metropolia Ammattikorkeakoulu;183;1302;388;1174;1000.5
2009;Kauppa, hallinto ja oikeustieteet;Mikkelin ammattikorkeakoulu;127;788;267;703;619.5
2009;Kauppa, hallinto ja oikeustieteet;Oulun ammattikorkeakoulu;184;1174;341;1053;923.5
2009;Kauppa, hallinto ja oikeustieteet;Oulun yliopisto;233;1184;216;1097;890.0
2009;Kauppa, hallinto ja oikeustieteet;Saimaan ammattikorkeakoulu;104;565;144;525;470.0
2009;Kauppa, hallinto ja oikeustieteet;Satakunnan ammattikorkeakoulu;223;1634;473;1485;1269.5
2009;Kauppa, hallinto ja oikeustieteet;Savonia-ammattikorkeakoulu;177;1000;277;917;821.0
2009;Kauppa, hallinto ja oikeustieteet;Seinäjoen ammattikorkeakoulu;146;1051;258;977;832.0
2009;Kauppa, hallinto ja oikeustieteet;Svenska handelshögskolan;293;2189;364;1928;1546.5
2009;Kauppa, hallinto ja oikeustieteet;Tampereen ammattikorkeakoulu;307;1558;436;1435;1283.5
2009;Kauppa, hallinto ja oikeustieteet;Tampereen yliopisto;127;1026;114;917;705.0
2009;Kauppa, hallinto ja oikeustieteet;Turun ammattikorkeakoulu;205;1575;495;1441;1265.5
2009;Kauppa, hallinto ja oikeustieteet;Turun yliopisto;578;3378;534;3116;2498.5
2009;Kauppa, hallinto ja oikeustieteet;Vaasan ammattikorkeakoulu;150;964;269;852;742.0
2009;Kauppa, hallinto ja oikeustieteet;Vaasan yliopisto;296;2141;368;1910;1486.5
2009;Kauppa, hallinto ja oikeustieteet;Yrkeshögskolan Arcada;69;518;124;461;402.0
2009;Kauppa, hallinto ja oikeustieteet;Yrkeshögskolan Novia;19;264;67;236;209.5
2009;Kauppa, hallinto ja oikeustieteet;Åbo Akademi;97;832;129;694;522.5
2009;Luonnontieteet;Helsingin yliopisto;662;6487;885;5820;4273.5
2009;Luonnontieteet;Hämeen ammattikorkeakoulu;;100;70;83;81.0
2009;Luonnontieteet;Itä-Suomen yliopisto;252;2170;424;1910;1495.0
2009;Luonnontieteet;Jyväskylän yliopisto;339;2338;430;2085;1634.0
2009;Luonnontieteet;Laurea-ammattikorkeakoulu;22;36;;35;31.0
2009;Luonnontieteet;Oulun yliopisto;388;2514;364;2233;1698.5
2009;Luonnontieteet;Svenska handelshögskolan;;6;0;5;3.0
2009;Luonnontieteet;Tampereen yliopisto;124;1197;139;1023;736.0
2009;Luonnontieteet;Turun ammattikorkeakoulu;21;129;30;113;104.0
2009;Luonnontieteet;Turun yliopisto;331;2636;369;2382;1796.5
2009;Luonnontieteet;Vaasan yliopisto;;3;0;3;1.5
2009;Luonnontieteet;Yrkeshögskolan Novia;7;80;29;70;64.5
2009;Luonnontieteet;Åbo Akademi;69;684;94;600;437.0
2009;Tietojenkäsittely ja tietoliikenne;Aalto-yliopisto;431;3642;323;3280;2214.5
2009;Tietojenkäsittely ja tietoliikenne;Centria-ammattikorkeakoulu;25;300;87;262;222.0
2009;Tietojenkäsittely ja tietoliikenne;Haaga-Helia ammattikorkeakoulu;166;1624;404;1419;1165.0
2009;Tietojenkäsittely ja tietoliikenne;Helsingin yliopisto;157;1827;161;1566;1018.5
2009;Tietojenkäsittely ja tietoliikenne;Hämeen ammattikorkeakoulu;69;535;139;491;401.5
2009;Tietojenkäsittely ja tietoliikenne;Itä-Suomen yliopisto;83;844;154;746;537.5
2009;Tietojenkäsittely ja tietoliikenne;Jyväskylän ammattikorkeakoulu;144;820;201;709;584.0
2009;Tietojenkäsittely ja tietoliikenne;Jyväskylän yliopisto;122;1486;227;1390;978.0
2009;Tietojenkäsittely ja tietoliikenne;Kajaanin ammattikorkeakoulu;39;320;90;270;233.5
2009;Tietojenkäsittely ja tietoliikenne;Karelia-ammattikorkeakoulu;45;331;101;302;273.5
2009;Tietojenkäsittely ja tietoliikenne;Kymenlaakson ammattikorkeak.;28;176;53;144;125.5
2009;Tietojenkäsittely ja tietoliikenne;Lahden ammattikorkeakoulu;65;451;131;400;347.0
2009;Tietojenkäsittely ja tietoliikenne;Lapin ammattikorkeakoulu;118;747;159;671;579.5
2009;Tietojenkäsittely ja tietoliikenne;Lappeenrannan tekn. yliopisto;61;686;85;593;407.5
2009;Tietojenkäsittely ja tietoliikenne;Laurea-ammattikorkeakoulu;89;630;157;588;507.5
2009;Tietojenkäsittely ja tietoliikenne;Metropolia Ammattikorkeakoulu;167;1646;421;1487;1207.5
2009;Tietojenkäsittely ja tietoliikenne;Mikkelin ammattikorkeakoulu;47;399;122;353;297.0
2009;Tietojenkäsittely ja tietoliikenne;Oulun ammattikorkeakoulu;175;1347;367;1243;1062.0
2009;Tietojenkäsittely ja tietoliikenne;Oulun yliopisto;148;2344;193;2078;1366.0
2009;Tietojenkäsittely ja tietoliikenne;Saimaan ammattikorkeakoulu;39;242;57;212;177.5
2009;Tietojenkäsittely ja tietoliikenne;Satakunnan ammattikorkeakoulu;76;394;86;362;301.5
2009;Tietojenkäsittely ja tietoliikenne;Savonia-ammattikorkeakoulu;68;479;126;440;389.0
2009;Tietojenkäsittely ja tietoliikenne;Seinäjoen ammattikorkeakoulu;94;383;51;351;286.0
2009;Tietojenkäsittely ja tietoliikenne;Svenska handelshögskolan;1;16;0;12;6.5
2009;Tietojenkäsittely ja tietoliikenne;Tampereen ammattikorkeakoulu;177;1049;275;941;800.5
2009;Tietojenkäsittely ja tietoliikenne;Tampereen tekn. yliopisto;245;2679;215;2372;1612.0
2009;Tietojenkäsittely ja tietoliikenne;Tampereen yliopisto;48;1090;110;968;643.0
2009;Tietojenkäsittely ja tietoliikenne;Turun ammattikorkeakoulu;131;1148;306;1020;892.0
2009;Tietojenkäsittely ja tietoliikenne;Turun yliopisto;116;1499;153;1334;866.5
2009;Tietojenkäsittely ja tietoliikenne;Vaasan ammattikorkeakoulu;82;635;145;553;467.0
2009;Tietojenkäsittely ja tietoliikenne;Vaasan yliopisto;12;383;43;329;232.5
2009;Tietojenkäsittely ja tietoliikenne;Yrkeshögskolan Arcada;9;36;;30;23.5
2009;Tietojenkäsittely ja tietoliikenne;Yrkeshögskolan Novia;18;176;35;152;126.5
2009;Tietojenkäsittely ja tietoliikenne;Åbo Akademi;40;396;44;343;226.5
2009;Tekniikan alat;Aalto-yliopisto;1329;10763;1052;9470;6807.0
2009;Tekniikan alat;Centria-ammattikorkeakoulu;165;1015;245;912;788.5
2009;Tekniikan alat;Hämeen ammattikorkeakoulu;309;2292;676;2044;1740.0
2009;Tekniikan alat;Jyväskylän ammattikorkeakoulu;250;1664;396;1455;1273.0
2009;Tekniikan alat;Kajaanin ammattikorkeakoulu;41;386;142;329;293.0
2009;Tekniikan alat;Karelia-ammattikorkeakoulu;121;822;247;727;626.0
2009;Tekniikan alat;Kymenlaakson ammattikorkeak.;171;1039;272;930;795.5
2009;Tekniikan alat;Lahden ammattikorkeakoulu;126;948;275;846;747.5
2009;Tekniikan alat;Lapin ammattikorkeakoulu;174;1304;423;1190;1037.5
2009;Tekniikan alat;Lappeenrannan tekn. yliopisto;557;3644;573;3128;2371.5
2009;Tekniikan alat;Metropolia Ammattikorkeakoulu;575;5477;1632;4868;4215.0
2009;Tekniikan alat;Mikkelin ammattikorkeakoulu;179;1024;321;890;790.5
2009;Tekniikan alat;Oulun ammattikorkeakoulu;254;2140;618;1900;1691.5
2009;Tekniikan alat;Oulun yliopisto;356;3202;294;2823;2034.0
2009;Tekniikan alat;Saimaan ammattikorkeakoulu;113;842;209;772;693.0
2009;Tekniikan alat;Satakunnan ammattikorkeakoulu;202;1529;466;1349;1176.5
2009;Tekniikan alat;Savonia-ammattikorkeakoulu;230;1847;595;1657;1461.5
2009;Tekniikan alat;Seinäjoen ammattikorkeakoulu;121;935;293;816;735.5
2009;Tekniikan alat;Tampereen ammattikorkeakoulu;433;3030;796;2677;2394.5
2009;Tekniikan alat;Tampereen tekn. yliopisto;864;8562;885;7363;5442.5
2009;Tekniikan alat;Turun ammattikorkeakoulu;255;2342;586;2091;1799.0
2009;Tekniikan alat;Turun yliopisto;1;38;12;33;29.0
2009;Tekniikan alat;Vaasan ammattikorkeakoulu;116;959;289;821;710.0
2009;Tekniikan alat;Vaasan yliopisto;12;263;57;221;159.0
2009;Tekniikan alat;Yrkeshögskolan Arcada;39;405;119;363;316.5
2009;Tekniikan alat;Yrkeshögskolan Novia;131;1023;304;823;701.0
2009;Tekniikan alat;Åbo Akademi;60;449;33;389;271.0
2009;Maa- ja metsätalousalat;Helsingin yliopisto;355;3118;362;2887;2225.5
2009;Maa- ja metsätalousalat;Hämeen ammattikorkeakoulu;128;980;225;898;747.0
2009;Maa- ja metsätalousalat;Itä-Suomen yliopisto;80;401;62;356;281.0
2009;Maa- ja metsätalousalat;Jyväskylän ammattikorkeakoulu;20;184;44;143;129.0
2009;Maa- ja metsätalousalat;Karelia-ammattikorkeakoulu;46;386;120;345;307.5
2009;Maa- ja metsätalousalat;Kymenlaakson ammattikorkeak.;40;186;47;172;157.5
